Name,Job Title,Company,Software Usage,Overall Rating,Ease of Use,Customer Service,Features,Value for Money,Likelihood to Recommend,Source,Date,Overall,Pro,Cons
William H.,President ,"Non-Profit Organization Management, Self-employed",2+ years,4,2,1,4,2,1,Capterra,07/09/2021,"To much security issues and because of how slow, moved on to ZarMoney ",Coverage of most accounting functions for my needs,Very Very slow in boot up and changing areas of needed work 
Chelcie T.,Student,"Computer Software, 501-1000 employees",2+ years,5,4,,5,,8,GetApp,07/01/2021,,What I like most about this software is the organization! Everything is organized so I can find everything easily,I wish this software would have more updates due to some features not working once in a while 
Michelle H.,Office Manager,"Automotive, 1-10 employees",1-2 years,5,5,5,5,5,10,Capterra,11/12/2019,,"I used quick books for my business i ran before i started working at his location, so i was already familiar with it, however being able to invoice and keep track of all sales and purchases on one program is great.  I love that if i have questions on use of the program its easy to get a hold of customer service. ",I have no complaints towards this software. 
Jamie K.,Accountant,"Program Development, 51-200 employees",2+ years,5,5,,5,4,8,Capterra,11/12/2019,"I've been a long time quickbooks user, I love seeing it grow as technology changes. ","Its user friendly, easy to use. makes life simple with matching daily transactions to get real time.","Reporting aspect, items to filter through, queries"
A.J. R.,Managing Partner,"Construction, 1-10 employees",2+ years,5,5,4,5,4,8,Capterra,11/12/2019,We are a construction company and need the ability to do class accounting to keep track of all of our projects in a detailed manner. QuickBooks Advanced allows us to do this by having unlimited chart of accounts.,"I love that it integrates with a vast amount of other service providers (i.e. American Express, Buildertrend, etc.). It has made accounting as streamlined and easy as possible without the need for a paid bookkeeper.",There are occasional bugs that don't allow pages to open or cause them to be in a constant refresh mode. There is a consistent download that happens when logging in. 
Arthur N.,HVAC Contractor,"Construction, 11-50 employees",2+ years,5,5,5,5,5,10,Capterra,11/12/2019,Experience was inspirational!  It has motivated me to follow my dreams,It saves so much time to perform other important tasks.,I can't share it with the whole world. I wish I could send the email to everybody I know.
Alyssa E.,Executive Assistant to the Vice President,"Telecommunications, 11-50 employees",1-2 years,5,5,5,5,5,10,Capterra,11/12/2019,,"I love that this software is easy for use when we need to communicate with customers, write invoice, estimates, and have the ability to be able to communicate directly with the company advisors. ",I think that I don't like when there are new features that aren't being talked about. The search function drives me nuts; they need to improve it to be more user friendly. 
Susan L.,Business Owner,"Restaurants, 51-200 employees",2+ years,5,5,5,5,5,10,Capterra,11/12/2019,Quickbooks has made keeping track of my business on a daily basis super easy.  ,"Bank account interface.
Payroll calculations made easy
Easy to use reports","Help articles frequently 
out of date or for previous versions"
Galia T.,Account Manager,"Retail, 1-10 employees",Less than 6 months,4,4,3,5,5,9,Capterra,11/12/2019,,"I enjoy the software because it simply offers a way to track my financials, expenses and profitability. I don't use half of the functions it provides for but am happy to know they are at my fingertips when I decide to move forward with them.",Its hard to search with partial information. 
Briana B.,Exective Accounts Receivable ,"Construction, 11-50 employees",2+ years,5,5,5,5,5,10,Capterra,11/12/2019,It has been very easy and stress free. ,When using QBO Advance everything is at your finger tips and finding what you need is very easy. ,"The layout has been changing, but I know it is all to advance the customer experience. "
Elizabeth Z.,Chief Operations Officer,"Construction, 11-50 employees",Less than 6 months,5,5,,5,,9,Capterra,11/12/2019,,It has most features needed from desktop. I like the ability to not have to host right networks especially being a Mac user and desktop seeming so antiquated. ,It is too early to advise since we are new to using advanced. 
Autumn A.,Office Manager,"Automotive, 11-50 employees",1-2 years,5,5,4,5,5,10,Capterra,11/12/2019,We are able to efficiently serve our customers via quick estimates in a smooth and easy to understand format.,I love how easy to learn and use it is!! I use this program daily and our business could not flow smoothly without it. We are very much dependent on its reliability and ease of use.,Slow start up loading period when program initializes and when switching pages.
KERRI S.,Office Manager,"Retail, 1-10 employees",1-2 years,5,5,5,5,5,10,Capterra,11/12/2019,QB helps us track our inventory and our sales of 3.1 million annually.  ,My favorite thing about QB online is I can do account on the go either on my laptop or using the mobile app.  QB online is very easily navigated and offers amazing customer service in the need of assistance.,I really do not have any cons to mention as QB is the only software I have used for accounting needs
Andrew M.,Litigation Support and IT,"Law Practice, 1-10 employees",2+ years,4,4,3,4,3,6,Capterra,11/12/2019,,Great for daily timekeeping for our firm. Also saves lots of time when creating and sending our monthly invoices. ,It would be nice to be able to set different default billing rates for different clients.
Amy S.,Owner- Managing Member,"Retail, 1-10 employees",2+ years,5,5,5,5,5,10,Capterra,06/08/2019,Great experience.,I like the ease to use.  Its very simple to invoice and to record payments,I cant say that I dislike anything about it.
Taylor L.,Support Hero,"Computer Software, 201-500 employees",1-2 years,5,5,,5,,10,GetApp,05/12/2018,,"Quickbooks is a fantastic solution to book keeping. Being able to keep track of hundreds of customers and having invoices linked to each, makes business so much easier! It is very appealing to the eye and learning how to navigate the software is a breeze.","Quickbooks can be pretty expensive. They do have a limit on transactions, so if you are a bigger company, it may not be for you."
John C.,Educational/Leadership Consultant,", Unspecified",2+ years,5,5,,5,4,,Capterra,07/06/2018,,Love it -- it helps us keep up to date on our budget with numerous users; it's also very easy to use with much online support.,"The monthly price is a little steep especially for nonprofits. Also, the phone app only has limited functionality."
Beth D.,"Administrator, Accounting & HR","Philanthropy, 11-50 employees",2+ years,5,5,,5,,10,SoftwareAdvice,24/04/2018,,"This product is easy to use.  The report features allow you to report on anything.  I also like being able to download reports into Excel.
",Sometimes Quickbooks will not start and we have to reboot the quickbooks server to get it to work.  
Verified Reviewer,,"Construction, 11-50 employees",2+ years,4,5,,5,5,9,GetApp,08/03/2018,,You have the ability to set it up as you like. It is versatile so you are able to use across many industries.,"Because you can set it up to your liking, even though it's the same program, I still have to relearn how to use it every time I go somewhere new."
Mary R.,Finance,"Philanthropy, 11-50 employees",2+ years,5,5,4,4,4,9,SoftwareAdvice,05/12/2017,,Love that this accounting software is easy to use and efficient to maintain.  Purchase through tech soup and the price is discounted,"Would like the ability to open multiple companies at the same time, but that is only available when using Enterprise version"
Jason H.,Finance Officer,"Hospital & Health Care, 11-50 employees",2+ years,5,5,5,5,5,10,Capterra,07/06/2017,Productivity and efficiency at a low cost.,QuickBooks Non-For-Profit is an inexpensive tool with powerful features.  Ease of use being one of the best pros.,Not being able to collapse and expand reports like the older version of the non non-for-profits version.
Jennifer B.,CFO,"Environmental Services, 1-10 employees",Less than 6 months,3,5,,3,,2,Capterra,20/01/2023,"Eh, not impressed. I like Quickbooks Desktop version 100 times better. ",It is very user-interface-friendly. It looks good on the front and back end of the invoicing and billing. ,"It does not have nearly as many features as Quickbooks Desktop, or I just couldn't find them. It would be good for a simple, small business. "
jennifer d.,Executive Assistant,"Environmental Services, 51-200 employees",2+ years,5,5,5,5,,10,Capterra,06/10/2022,Good excellent meets my needs and reporting requirements,its easy and I use it for all reports billing funding etc,I do not know of any negative about the software sorry
Stephan L.,Office Manager,"Public Relations and Communications, 1-10 employees",2+ years,4,3,2,4,3,5,Capterra,13/09/2022,Ok,Efficient with monitoring the status of accounts.,Customer service is outsourced to a place where people who try to help do not understand the program
Stan F.,CFO,"Computer Software, 11-50 employees",2+ years,5,5,5,5,5,10,Capterra,11/08/2022,,"The integrations are seamless for all integrations i.e. banking, payroll etc.",It could be more robust like an ERP and then as we grow it could grow with us
Zakaria E.,Enrolled Agent,"Accounting, Self-employed",2+ years,5,5,5,5,5,10,Capterra,15/05/2022,,The new features have improved the software overall and made it easier to use.,Still need some improvements with reconciliation and bank feeds.
Brigitte P.,Interior designer,"Design, 1-10 employees",1-2 years,4,4,5,4,4,8,Capterra,03/08/2021,Your customer service is Perfect! ,Very easy to use for someone like me who doesn't I work in accounting,Very easy to use for someone like me who doesn't I work in accounting but My Accountant doesn't like to work with it so it cost me more Time/$$  for them to look for what they need ! 
jamison m.,Owner,"Construction, 1-10 employees",1-2 years,5,5,5,5,5,10,Capterra,12/05/2020,It helped me keeping tracks of my books and have them prepared for my accountant and the end of the year. ,I enjoyed the option that you could link your bank account directly with it. It made seeing and itemizing expenses easy.,There was not a lot that I disliked on quickbooks. It really never gave me any trouble once I figured the system out.
Amber O.,Accountant,"Accounting, 11-50 employees",6-12 months,1,1,1,2,1,0,SoftwareAdvice,12/02/2020,"It has been awful. I got poor very support so I felt like I was floating alone. I have used Quickbooks desktop for years and I LOVE it. I was assured that if I didn't like the problem a migration back would be easy. It is NOT. Basically it is impossible. So if you want to change again, it is like a completely new product. This way QBO traps you into a monthly subscription which suddenly shoots up.
I have been an accountant for 3 years, so I really do know programmes and what works. QBO is horrible.",That it was on line which allowed me to go in and view what my clients had been doing,"So many things. No names on journals, layout of ledgers and screen reports, only being able to open one report at a time"
ROSE B.,OWNER,"Construction, 1-10 employees",1-2 years,5,5,5,5,3,10,Capterra,12/12/2019,"ONCE YOU USE QUICKBOOKS ONLINE ADVANCED, IT IS A HASSLE FREE PROGRAM THAT I WOULD NOT STOP USING. ",ITS A USER FRIENDLY SOFTWARE.  IT CUTS YOU WORK TIME IN HALF AND IT KEEPS VERY GOOD RECORD OF EVERY SINGLE TRANSACTION.,IT SEEMED INTIMIDATING AT FIRST. SO MUCH TO LEARN AND EXPLORE.
Sharelle M.,Office Manager,"Information Technology and Services, 11-50 employees",2+ years,5,5,4,4,4,8,Capterra,11/12/2019,,"Quickbooks is great for many features, but my favorite is the ease of having receipts sent directly to quickbooks. ",There needs to be more information provided in the banking department 
Erin O.,Manager,"Printing, 11-50 employees",1-2 years,5,5,5,5,5,10,Capterra,11/12/2019,"I am a fan, I am not an accountant but QBO makes it easy to use for beginners like me!",It is easy to use!  I use to hate accounting but Quickbooks makes accounting easy!,"It is not always the fastest.  I recently have had error issues with the IP address stating that the webpage could not load, not sure if its the most recent updates but we will get through it! "
Sophie R.,Project Manager,"Telecommunications, 11-50 employees",2+ years,5,5,5,5,5,10,Capterra,11/12/2019,Love it to do my estimates and invoicing ,Easy to use and efficient. It has everything I'm looking for.,Search function needs improve more user friendly please. I liked the original search better.
Jeff S.,VP Finance,"Consumer Goods, 11-50 employees",1-2 years,4,5,5,4,5,9,Capterra,11/12/2019,"Overall, our experience has been good, QuickBooks has been able to take care of 90% of our needs and integrate well with other systems in our business. ",Fairly easy to use for the business and easy to understand reporting with Fathom to share with the Executive Team,Not able to run multiple companies (different countries/entities) in the same books for inter-company expenses.
Candace C.,Office Manager,"Construction, 1-10 employees",2+ years,4,5,4,4,4,9,Capterra,11/12/2019,,How easy it is to use. Many options to make importing your data easier.,"That there is not ""undo"" reconciliation button like there is for the hard copy quickbooks."
Julie A.,Director,"Health, Wellness and Fitness, 51-200 employees",Less than 6 months,5,4,5,4,5,10,Capterra,11/12/2019,"Overall I have had a smooth transition to QBO. Customer support is excellent!
",I am a new user to QBO transferring from the desktop version. I really like how our bank accounts can connect to QBO. This makes reconciling end of month a breeze!,As a new user I am still finding my way around. Nothing negative to say about the software.
claire l.,Direct of Student Services,"Education Management, 11-50 employees",2+ years,5,5,3,4,3,8,Capterra,11/12/2019,,"User Friendly 
Good reporting for the most part
user forums are active and helpful ","Cost
Forced to upgrade for just a few needed features 
some reports could use added features"
Kevin H.,Administration/Technology,"Construction, 11-50 employees",2+ years,4,4,5,4,4,7,Capterra,11/12/2019,Very pleased overall with quickbooks aside from the hiccups that usually seem to quickly be resolved.,"It houses all of our financial needs, very easy to use.",Occasional hiccups especially in new features.
Kandice E.,A/R,"Retail, 11-50 employees",2+ years,5,5,5,4,5,9,Capterra,11/12/2019,,The ease of using it. We have had this program for years now and generally anyone onboarded can catch on quickly.,"At times, the banking feature and partners break and do not update."
Andrea H.,Business Manager,"Professional Training & Coaching, 11-50 employees",2+ years,5,5,5,5,5,10,Capterra,11/12/2019,Quick response time and problem solving made easy.,"Great product, easy to use, wonderful communication.",The updates can be difficult with the other software programs.
Shelley C.,Office Manager,"Hospital & Health Care, 1-10 employees",6-12 months,4,4,4,4,4,8,Capterra,11/12/2019,Posting payments is easier with QuickBooks than any software that I have used in the past and reconciliation is easier than general ledgers that I have formally used.,"The ease of access. You are not tied to your office desk you can access from any computer, tablet or phone. ",Column Choices for customer settings. It would be easier to export if all the available items that are in a customer's invoice were also eligible as columns on the customer page so you can take a quick look without opening each individual customer. 
Brian W.,Owner,"Real Estate, 1-10 employees",2+ years,5,4,,5,,8,Capterra,11/12/2019,,It helps organize all of the money that comes through your business. ,It is a great software but it requires an in depth knowledge of accounting principles to be able use yourself. 
Christine T.,IT Manager,"Fishery, Unspecified",2+ years,5,5,5,5,5,10,Capterra,07/06/2017,Our accounting department is running smoothly with this software!,We had 2014 non-profit software and it was so easy to upgrade to newer version 2017 non-profit software.  Things went smoothly with the upgrade to our server and for other 2 users.,
Peter B.,,", Unspecified",2+ years,3,2,1,3,3,7,GetApp,03/06/2017,,"Most of the world is familiar with and has a way to tie-in to the program. For example, if you have a Mac and your accountant has a PC, you can transfer information into and out of the program.","The Mac interface is not user friendly and does not adhere to a lot of the normal Mac ways of doing things. For example, on the most basic level, you can't use the keyboard to select from some dialog boxes, so you have to take your hands off the keyboard. As I work in Quickbooks, I find that I get annoyed because things are more difficult to accomplish than they need to be."
Brian B.,Founder/President,"E-Learning, 1-10 employees",2+ years,5,5,5,5,5,9,Capterra,20/04/2017,We've been using Quickbooks Non-Profit edition for several years and found it found helpful in meeting all of our needs. The integration with our online donation tools is a wonderful feature that saves us a lot of time. It is the perfect fit for a non-profits of any size.,"All of these features make it a great tool: Send and track custom invoices, Track income and expenses, Create and manage estimates, Sync bank accounts and apps, Manage and pay bills
Instant sales and profit reports, Track inventory, Prepare and print 1099s.",We have not found anything that we don't like and the new versions always include new features.
Asha S.,COO,"Education Management, 11-50 employees",2+ years,3,2,1,3,2,3,Capterra,14/01/2023,Once I have a grasp of some of the basic elements it is a resourceful software but some of the functions are way to complicated.,There are many different uses in Quickbooks when it comes to managing expenses but it can be overwhelming and convoluted. They need better  training and customer service.,"Customer service. Whenever I called for help, often a customer service rep did not have the answer and would try to pass me on to another customer service rep. "
Michelle N.,OFFICE MANAGER,"Construction, 11-50 employees",2+ years,5,5,5,5,5,10,Capterra,08/12/2022,,Love that QBO integrates with our dispatch software,QBO does everything I need at the moment
Christopher C.,CTO,"Law Practice, 1-10 employees",2+ years,5,3,1,5,4,7,Capterra,31/08/2021,,QBO leads in the online market. it integrates with CLIO.,Poor support. Weak coordination with integration partners. 
Jonathan M.,Project Manager,"Civil Engineering, 1-10 employees",1-2 years,5,5,5,5,5,10,Capterra,20/05/2021,Very easy to access and user friendly. It can be accessed through any computer.,Easy to access and user friendly. Excellent customer service/support. Web based access. PO's can be created easily.,Reports are very lacking of information. Need to dedicate a good amount of time to be able to customize reports.
Amie S.,Office manager ,"Marketing and Advertising, 1-10 employees",2+ years,5,5,4,5,5,10,Capterra,08/05/2021,Have always had great responses with customer service ,Quick Books is easy to use and inexpensive ,"Should back up automatically 
Would like an light app version "
Hale O.,HR Manager,"Biotechnology, 11-50 employees",1-2 years,5,5,5,5,5,10,Capterra,13/12/2019,Very positive! Keeping track of the books is much easier with QBO and is very user friendly,"Very user friendly, especially for people with little/no accounting experience","Wish some processes could be automated, some things are a bit tedious "
Neelim P.,HR,"Information Technology and Services, 11-50 employees",2+ years,5,4,4,4,4,8,Capterra,11/12/2019,Is must for every business,Invoicing with Quick books is very user friendly tracking  payments is really good.,Importing Bulk data is hard in quick books
Jude R.,Paralegal/Office Assistant Manager,"Legal Services, 1-10 employees",Less than 6 months,4,4,4,3,4,7,Capterra,11/12/2019,"Usually populates transactions (checks, debits, credits), but annoying when it doesn't because then they have to be entered in manually.",I like using quickbooks for payroll. I can set the date for the next payroll to occur immediately after I finish the last payroll. It's close to being fully automated! Then all I have to do is make sure the state and federal taxes are being taken out and printing/emailing paystubs to employees. ,Learning how to fix problems when they come up is difficult. I usually have to call in and have someone help me - and they don't always have the answers I'm looking for. It's also scary when glitches happen since most if not all of our timekeeping and records are on QuickBooks Online and it would be difficult to recreate a record of all the transactions with all the supporting receipts if anything happened. 
Vivian W.,Accountant,"Accounting, 201-500 employees",2+ years,5,5,1,5,,10,Capterra,11/12/2019,,Very easy to use. Provides all access functionalities and syncs well with other software.,Very poor customer service if experiencing syncing issues
Irma G.,AP Coordinator,"Health, Wellness and Fitness, 201-500 employees",2+ years,4,5,1,3,4,7,Capterra,11/12/2019,Good,All features are easy to use.... this program works great for our business and reporting is excellent,Poor customer service/technical support 
Elliott H.,Projects Director,"Building Materials, 11-50 employees",2+ years,4,4,,5,,7,Capterra,11/12/2019,,"Quickbooks online is easy to use, difficult to master, but rewarding in the amount of functionality it offers.",sometimes it is a little slow to respond
Jessica W.,Controller,"Computer & Network Security, 11-50 employees",2+ years,4,4,3,4,4,9,Capterra,11/12/2019,Very Good,Ease of entering information into the system,Reports are not as user friendly as can be. I wish the reports would could integrate to a nicer version. 
Tricia H.,Bookkeeper,"Non-Profit Organization Management, 1-10 employees",6-12 months,5,4,5,4,4,8,Capterra,11/12/2019,,What I like most about the software is how your able to customize many of the forms. It is very user friendly. I love the webinars that are available to help you navigate your way around the software. ,The only thing I didn't like is that it just took a while to get used to. It's not very similar to QB desktop so there was a learning curve. I work for a non-profit so I also wished it had more reports that was geared specifically towards that area. 
Shawn B.,Owner,"Construction, 11-50 employees",1-2 years,5,5,4,5,5,9,Capterra,11/12/2019,So far everthing works good for me. ,"Ease of training my people with using it, most things are intuitive . ","I had many issues getting payroll set up, it took quite a bit of time. This was also as soon as QBO released so hopefully they have gottten the bugs out."
Sally R.,Business Development,"Construction, 11-50 employees",2+ years,5,5,5,5,,10,Capterra,11/12/2019,,Very user friendly and efficient. Would recommend for all bookeeping needs. ,Some options could be more accesible. We don't have any complaints. 
Daniel J.,Vice-president,"Industrial Automation, 1-10 employees",Less than 6 months,5,5,5,5,5,10,Capterra,11/12/2019,,"What I like most about the software is the simplicity of the platform. I know where everything is immediately. Also, with the added support I am phone call away from solving any problems I run into.",Like with anything change can be difficult for some people. There are roadblocks transitioning to a more advanced software.
Amber L.,Office Manager,"Civil Engineering, 11-50 employees",Less than 6 months,5,5,5,4,4,9,Capterra,11/12/2019,"Using QBO Software has improved our ability to keep up with our books, and track our employee time. We switched over from an ancient accounting system, and the transition was nearly seamless. We could not be happier with our decision to use QuickBooks Online.","The easy-to-use features are what I like the most about QBO Software. It has a user-friendly interface, and self-explanatory features. I also thoroughly appreciate the Customer Support. I have used this feature multiple times, and the representatives are always very helpful, friendly and professional.",The features I like the least are the lack of options for Custom Reports. It would be helpful to have an Accounts Receivable Report that is more customizable than the currently offered options.
marlee m.,operations manager,"Automotive, 1-10 employees",2+ years,5,5,4,5,4,9,Capterra,11/12/2019,,I like the ease of use creating invoices and tracking expenses.,"Minimal cons, just certain tiny features would be great to have added."
Trista T.,Payroll and Benefits Administrator,"Sports, 501-1000 employees",1-2 years,4,4,2,4,4,8,Capterra,11/12/2019,It's good because employees from all over the USA can work on the same company files live.,You can use as much or as little as needed for multiple companies. It's very user friendly and logical.,I can't get my bank accounts to sync with the product. They were connected and now they are not and we have not been able to correct it. 
Verified Reviewer,,"Accounting, Unspecified",2+ years,4,5,5,5,4,10,Capterra,06/12/2017,I would rather use this program than any other bookkeeping software that I know.,"Quickbooks is very easy to use. From reporting to creating budgets to check writing to bank recs, this program is super!",
Heide R.,Bookkeeper,"Non-Profit Organization Management, 1-10 employees",2+ years,4,4,4,4,5,4,Capterra,06/01/2017,My favorite thing about QuickBooks is that you can drill down in a report and get all the details and information on a transaction regardless of the date of the transaction.,Great detail,Fund accounting for a nonprofit is not great
Mariam R.,Business Manager,"Education Management, Unspecified",2+ years,4,4,3,4,5,8,Capterra,05/12/2016,Quickbooks is a great software to use for nonprofits.  It has ease of use.  The only downside is you have to pay extra for customer service support.,User-friendly.  Reports can be easily run and exported to excel.  ,lack of customer service support
Rhonda R.,Bookkeeper,"Financial Services, 11-50 employees",2+ years,5,5,5,5,5,10,Capterra,19/05/2022,"The ability to upload the bank statements is the biggest change, it takes less time to reconcile the bank statements.",I like this software because it has all the features we need in our business. I love that we can load the bank statement and just make a few adjustments and the bank statements are completed quickly.,"I can't think of anything that I do not like about this version of QuickBooks; there are so many updates over the years, it just keeps getting better."
Libby W.,Admin/Bookkeeper,"Marketing and Advertising, 1-10 employees",1-2 years,4,5,4,5,4,8,Capterra,05/11/2021,"Quickbooks, has it all and once you get to know how to use every feature it is a great business tool. ",Very easy to send invoices. Matching bank feeds is very easy. Great reporting services. ,Extra fees and prices. A few glitches that take a while to be fixed. 
Amy F.,Office Manager,"Construction, 1-10 employees",6-12 months,5,5,5,5,5,10,Capterra,24/06/2021,Our overall experience has been wonderful! We do not plan to change any time soon! ,"What we love most about QuickBooks Online Advanced is the accessibility! We can access our files at the office, on the road, or at home! The best part about QB online is that our accountant can log in anytime and help when needed! ","QuickBooks online has a LOT of features, which is great! However, sometimes finding which report you need can be challenging. "
James L.,Proprietor,"Restaurants, 1-10 employees",6-12 months,3,2,5,2,2,2,SoftwareAdvice,14/07/2020,I actually despise this sw suite now and feel abused by it (oh: their CA get togethers to merge and freak!) but have to say that their support team did their best with an incorrigible systems-induced trainwreck.,It was great that the sw synchs with my bank accounts but this is no great thing now a days. ,"About 40 of us met with a QB consultant (paid) to ""consider"" this software as a business management suite in May 2019.  I speak now and write now as a former Continental Director of Sales and Marketing when I say the following: the consultants are paid to bring in heads and I was induced to sign up for a piece of legacy software ""QB Self Employed"" which astonishingly enough does not integrate with any of the upper level software programs of this company. That this is the case is simply an outrage and though there are dozens of online reviews flagging this issue, the company remains oblivious to the hundreds of small businesses that it has abandoned to whatever they can find to make the issue better again. For this reason alone as someone well versed in what a sw company can do: hey [SENSITIVE CONTENT HIDDEN]: you can do better with a file full of receipts than $27 /month for nothing of worth."
Elsa G.,Office Manager,"Construction, 1-10 employees",2+ years,5,5,5,5,5,10,Capterra,11/12/2019,,it's very easy to use easy to understand ,not very much to say about it  the program is very self explaned
Kris D.,Sales/Project Manager,"Building Materials, 11-50 employees",2+ years,5,5,4,5,4,8,Capterra,11/12/2019,,Ease of use especially for how vital of a role it plays in our business,Random errors I get and have to log in again
Karen P.,Owner,"Construction, 11-50 employees",6-12 months,5,3,5,5,5,10,Capterra,11/12/2019,Downloading transactions and working if needed form off site any where in the world is AWESOME !,"If you are new to QBO take heart !! Once you get to know it and it you, things will be different.  It is a time saver and gets easier to utilize it functions as you learn how to navigate alllll the new stuff !!","The is a big difference between QBO on Desk top, be prepared.  Stick with it though and all will be well. "
Chris B.,President,"Construction, 51-200 employees",2+ years,5,5,5,5,5,10,Capterra,11/12/2019,Good ,Quick  and easy  product to use.  Use everyday.,features some are not easy to find in search method 
Jul B.,Facility Supervisor,"Retail, 11-50 employees",2+ years,5,5,4,4,4,9,Capterra,11/12/2019,,How user friendly the program is. The ease of use really makes the product!,The constant updates during normal business hours.
Ludwig C.,Financial lead,"Computer & Network Security, 11-50 employees",1-2 years,4,5,5,4,5,10,Capterra,11/12/2019,Overall QBO has been reliable and consistent. I love how they keep updating their platform to continue improving themselves.  ,How easy it is to navigate around the page.,Sometime when QBO pushes updates without notifications somethings get moved around and hard to navigate for a few minutes.
Christina D.,Client Services Manager,"Public Safety, 51-200 employees",2+ years,4,5,5,4,5,9,Capterra,11/12/2019,,This software is easy to use and set up!,I wish it had more options to personalize certain aspects specific to my business.
Sarah G.,Accountant,"Retail, 11-50 employees",2+ years,5,5,5,5,5,10,Capterra,11/12/2019,,Ease of use-very easy to accept banking items from review,standard reporting is not very flexible to move items around
martina s.,manager,"Real Estate, 1-10 employees",2+ years,5,5,5,5,5,10,Capterra,11/12/2019,,"Its easy to use, we can use it on the iphone to, through the quickbooks app
","we i dont have anything that we dont like
"
Ryan S.,"Director, Client Services","Real Estate, 11-50 employees",1-2 years,5,5,5,5,5,10,Capterra,11/12/2019,Great time-saver! More accurate invoicing and A/R records,The software is very user friendly and easy to figure out. It is painless and tracks revenue and outstanding A/R and offers extensive reporting features.,None - it's really a great product and easy to use.
Kenneth M.,President,"Marketing and Advertising, 1-10 employees",6-12 months,5,5,5,3,5,10,Capterra,11/12/2019,Overall it has been a great asset to my company and we look forward to more advancements.,Easy to use and technical support team can usually solve our problems with the first call,"lack of customization to forms. It would be helpful to have more choices for estimates, deposit invoices and balance invoices. Accounting is always requesting better features as well but they are not specific as to what those are."
Katie R.,Payroll Specialist and AR,"Construction, 11-50 employees",Less than 6 months,5,5,5,5,5,8,Capterra,11/12/2019,We have enjoyed getting used to QBO Advance.  We are excited once all the initial set up kinks are worked out and to get into our regular work flow.,"Ease of use
Simultaneous multi user
Cloud based","Not able to back it up
Some features are difficult to find"
Dana C.,Manager,"Transportation/Trucking/Railroad, 11-50 employees",1-2 years,5,5,5,5,5,10,Capterra,11/12/2019,,This product is easy to use and the customer service is very helpful. I like the selection of reports that can be generated to review business accounting. ,The thing I like least is navigating between some of the tabs. Occasionally it can be frustrating. 
Verified Reviewer,,"Real Estate, 1-10 employees",2+ years,5,5,4,4,5,10,Capterra,11/12/2019,,"Very user friendly, mobile capable, tracking expenses and report generation",Non specific for real estate investors (fix and flip)
SALLY B.,Business Manager,"Philanthropy, 11-50 employees",2+ years,5,5,,5,,10,SoftwareAdvice,15/08/2018,great product,ease of use ease of use ease of use --- this is a very user friendly product. up to date for non profit ,nothing to not like....
Patty S.,Office manager,", Unspecified",1-2 years,4,4,4,4,4,10,Capterra,05/12/2017,recordkeeping all in one place. ,"It is user friendly. I am not an accountant, and it is pretty easy to learn and understand.  I would say the average person could pick it up in a day.","Once in awhile, it will not want to open. This could be our computer. It always fixes itself without me having to do anything"
Robin R.,Treasurer,"Non-Profit Organization Management, 1-10 employees",Less than 6 months,5,5,4,4,5,9,Capterra,07/12/2016,"I have yet to find any processing needs that QuickBooks can not handle, EXCEPT, the reporting module.  I find a good reporting module will allow free-form reports to be generated on ANY and ALL information that is contained in the database.  Unfortunately, QuickBooks only allows the client to use pre-designed reports that are specific to the data they determine to be relevant for reports.  Yes, some messaging can be performed on those reports; however, the data can not be customized.  From a client perspective, there are times that an audit of certain data (parameters) that drive how the system will ultimately function, would be of enormous benefit.  Also, the client definitely has specific report desires beyond what QuickBooks' programmers have pre-determined would meet their needs.  Bottom line:  If the client is allowed to input data, the client should be allowed to print that data via reports, while structuring how they want that data to appear on those reports.",Everything except the reporting module.,The reporting module.
Cathy P.,Secretary Treasurer,"Religious Institutions, 1-10 employees",1-2 years,4,4,4,4,4,8,Capterra,03/11/2016,"I had never worked on QuickBooks before and found it pretty easy to learn. Good help files to help me with questions quickly.  There are some things I would change, but overall, it fit our churches' needs. ","Easy to learn and if you make mistakes, you can correct easily.","There are a few changes I would make, like posting deposits before checks in the registries, but no major cons."
Edwin A.,Accountant,"Accounting, 1-10 employees",6-12 months,5,4,4,4,5,9,Capterra,14/06/2023,,Comprehensive Financial Management and User-Friendly Interface,Some users find the pricing of QuickBooks Online Advanced to be higher compared to other accounting software options
Carole D.,Administrator,"Accounting, 11-50 employees",1-2 years,5,5,5,5,5,10,Capterra,23/01/2023,"QuickBooks Online is a feature-rich accounting solution for small and medium businesses. However, it can be complex to navigate and set up, so it may be best to seek help from an accountant or experienced bookkeeper to make the most out of it.","Offers a wide range of accounting features such as invoicing, expenses, and financial reporting. Easy integration with other tools such as bank accounts and credit card. Suitable for small and medium businesses.","Can be complex to navigate and set up, especially for those without accounting experience. Getting the most out of it requires some learning curve."
Todd M.,Finance,"Computer Software, 11-50 employees",6-12 months,4,4,5,3,5,9,Capterra,17/11/2022,"Even with the separate apps needed, an excellent value and cost savings over other more expensive accounting software options. ","Great value, low cost, meets needs. Online payment and billing options are easy for customers.",Additional apps needed for advanced features such as importing journal entries and bulk history and printing checks.
Jason C.,Director,"Building Materials, Self-employed",1-2 years,5,5,5,5,5,10,Capterra,16/11/2022,"Reliable software for my small business, making my workload up to date.","Affordable & easy to use. When you have any questions regarding the software, there's a live chat that can assist you.",Sometimes it glitches but nothing major.
