Name,Role,Business Size,Validated,Source,Rating,Date,Title,What do you like best about Sage Intacct?,What do you dislike about Sage Intacct?,What problems is Sage Intacct solving and how is that benefiting you?
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2019-11-14,"""Great Product for mid-size companies""","Easy to use, easy to teach to my staff, great canned reports, Each module has the same look/feel making it easy to switch between modules. Review collected by and hosted on G2.com.","Custom report writer is not user friendly. Having to purchase ""add-ons"" to the package - prepaids, custom report writer, FP&amp;A software Review collected by and hosted on G2.com.",We moved from Quickbooks to Sage. Great move for the organization. We interface with Salesforce which is very helpful. The right software for our organization! We are more productive and better able to track revenue and expenses. Review collected by and hosted on G2.com.
Philip B.,Controller,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2019-11-12,"""Very positive, easy to learn and to set up.""","Cloud based, allows for multiple companies and the ability to maintain accounts in different levels and departments. Review collected by and hosted on G2.com.","Do not like to submit job tickets when some issues could be settled with a phone call. Sometimes when confused about an issue, a few questions can get you into the right area and the lights come on. Especially with something you only do once or twice a year. Review collected by and hosted on G2.com.","We are plain vanilla. I used the GL , report writer, AR, and Purchasing. Able to produce Income Statement and Balance Sheet, do JE's, easy to use and understand. Review collected by and hosted on G2.com."
,,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,5.0,2019-07-18,"""Intacct works very well""","System is user friendly, dashboard capabilities are excellent, help feature in the system is excellent and makes it easy to troubleshoot and fix errors without having to reach out to a 3rd party. Review collected by and hosted on G2.com.",Custom reporting is not intuitive and time consuming. Customer support directly from the vendor could be better. Review collected by and hosted on G2.com.,My organization switched from a legacy accounting system to Intacct. I have to say that the migration was more than painful- but all that pain was worth it! The system is awesome! The help feature alone in the system was worth the migration- it was impossible to figure things out on your own in our legacy system- required us to go to consultants when we had issues in processing. Intacct makes it very easy to troubleshoot and figure a lot of your processing issues out on your own. The Dashboards in the system are awesome as well! I am certain that there are more great things to come with this system given we have only been using it 6 months and have not fully explored the potential of the system. Review collected by and hosted on G2.com.
Irine M.,Financial Analyst; Financial Services,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2019-08-23,"""Amazing accounting tool made for accounting people.""",This application has made it possible to ahve control over our budget and overlook on business performance and be able to predict future outcomes.it is easy to work with and producing reliable reports is excellent. Review collected by and hosted on G2.com.,There is absolutely no problems I have experienced while using this amazing tool so for now I have no dislikes. Review collected by and hosted on G2.com.,"This application has enabled us keep an eye on our overall finances,manage them and account for every coin coming in or leaving.The best part is accessing this application anywhere at anytime. It enables us produce invoice easily and keep a clean record. Review collected by and hosted on G2.com."
Scott G.,CFO &amp; COO,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2019-11-15,"""IntAcct improves efficiency and reporting""","Intacct enabled us to significantly shorten our monthly closeout process, get all of our affiliated companies on a common accounting system, automate consolidations and financial reporting, and improve the professionalism of our reports. It has been a significant time saver. Review collected by and hosted on G2.com.",Fixed assets does not support the needed tax depreciation method options we need. Review collected by and hosted on G2.com.,"Solved inefficient closeout process and manual consolidation and reporting. As noted above the benefits are include significantly shorter monthly closeout process, common accounting system for consolidated companies, automated consolidation process, automated financial reporting and dashboard report presentations.. Review collected by and hosted on G2.com."
Steven C.,Senior Business Services Specialist,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.0,2019-10-23,"""Sage Intacct Review (Giftcard)""","The program is extremely easy to use. The interface is easy to navigate, reports can be generated into various formats with just a button click. Moving from A/R to A/P to Journals to Cash Management is quick with the side toolbar, and assigning favorites helps me find what I'm looking for since I don't utilize a lot of the product. Review collected by and hosted on G2.com.",With the nice interface comes some updates that slow me down or take time to learn. There isn't much I dislike about Sage Intacct. Review collected by and hosted on G2.com.,I've realized I can duplicate entries and set-up recurring journal entries to make month end closing faster. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2019-11-12,"""Really easy to use""","The interface is not complex whatsoever, making it easy to navigate around. Review collected by and hosted on G2.com.","Some parts of it are still in the old interface. Selecting credits when it comes to paying bills takes a lot of clicking. If credits are in one entry, you still have to manually select those credits when it comes to paying bills. Review collected by and hosted on G2.com.",Sage Intacct allows us to clearly see what bills we have paid in the past and allows us to see the patterns. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2020-02-13,"""One stop shop""",intacct offers a very strong revenue recognition module Review collected by and hosted on G2.com.,Customer Support is only through email communication - Review collected by and hosted on G2.com.,"revenue recognition
subcription billing
Asset tracking - depreciation
prepaid expenss Review collected by and hosted on G2.com."
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2019-10-24,"""sage intacct ease of use""",easy functionality and helpful help menu . Very easy navigation ui and customization can be done via finance group without any need for it interaction Review collected by and hosted on G2.com.,"the additional dimension groups available for reporting. this is currently only limited to account groups, and a few other but should be available for all dimensions like item, etc. Review collected by and hosted on G2.com.",coming from sap we are saving a ton of money and ease of use. we are utilizing the ability of custom reports to better see what the numbers are and what they actually mean. Review collected by and hosted on G2.com.
Laura H.,Staff Accountant,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2019-11-14,"""Love the features""",The ease of use and simplicity make Sage Intacct a great product Review collected by and hosted on G2.com.,"Only a few issues with getting logged out, other than that, it's great! Review collected by and hosted on G2.com.",Keeping all sales straight. The reports are great for balancing with other programs. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2020-02-12,"""Better reporting and insights""",Simple to use and very user-friendly and intuitive Review collected by and hosted on G2.com.,Some features are not optimal and need to be refined Review collected by and hosted on G2.com.,Great insights into deferred revenue and accounting details which we didn't have before Review collected by and hosted on G2.com.
Richard T.,Finance Manager; Accounting,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2019-11-18,"""Intacct provides us with better information, faster than our previous software""",The ability to import multiple journal entries that had to be manually entered before. Review collected by and hosted on G2.com.,That once posted you cannot reclassify imported entries. Review collected by and hosted on G2.com.,"Now have the ability to track costs by department, location and contract or any combination of the three. Review collected by and hosted on G2.com."
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2019-10-24,"""awesom intaact""","I love that intacct isnt just a storage of accounting data transactions, but that there are many features that allow you to transform the data. In addition there is literally nothing that you can't do in the software which is nice. Review collected by and hosted on G2.com.",I dislike the cost of the product. And how add you're almost nickled and dimes for additional services that should be included. You can often find a work around for anything that missing but you will need to have outside coding knowledge or someone on your team who is able to write API Review collected by and hosted on G2.com.,Intacct has allowed us to step up our reporting and cut down on the time it takes to performance simple analysis. we've been able to cut down our closing time and streamline our AP process by using the software. Review collected by and hosted on G2.com.
Bobbi O.,Controller,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2020-02-28,"""Second time around""","Literally being able to access data from anywhere. I approved checks while in Ireland, once. Review collected by and hosted on G2.com.",The report writing is a little complicated sometimes. Review collected by and hosted on G2.com.,"Approvals, electronic check signing, fast easy imports from other softwares. Review collected by and hosted on G2.com."
Alexander W.,Director - Finance and Accounting,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2019-10-23,"""Coworking Business""","Intercompany journals - these are a life saver when we have centralized management of certain functions (payroll for example)
LOAD FILES - a life saver over manual UI transactions Review collected by and hosted on G2.com.","Balancing the Interco - looking to just have the system automatically balance for me (no journal required)
Fixed Assets are challenging to create a dep/amort forecast
Reporting is good, but can be challenging to understand and sometimes making alterations to reports don't save - the error messages are confusing (column width issues?) Review collected by and hosted on G2.com.","Purchasing approvals - helps with cash management
Weekly Sales Reporting Review collected by and hosted on G2.com."
,,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,4.5,2019-07-01,"""Intacct is Intact""","I love the tabs. Its has my timesheets separate from company details and projects. The timesheets are easy for me to enter and submit. The login is straight forward, although I am just a timesheet user and not from the accounts payable team from my company.
I like that it has features where you can edit an added timesheet and re-submit, before the approval.
Intacct also stores my previous timesheets right from the very beginning, from my date of joining until present.
I also like that we can customize the search options to get the results we want.
The help menu on the right hand side corner is also helpful, and I admit I did not need any assistance as it was simple. Review collected by and hosted on G2.com.","I wish it also showed my information on how much PTO balance I have remaining on my account. I have to get into ADP for this information.
I have never tried the duplicate button to see what that means, I just need to explore what that tab actually does.
The hours in a day balance although shows 8 which is right, but since I am salaried, it would be useful if it showed me as salaried than saying hourly under the calculation method tab. Review collected by and hosted on G2.com.","My focus is limited on Intacct. I only use to log my worked hours, although its a very user-friendly website. Much better from the other systems out there. Review collected by and hosted on G2.com."
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2019-07-01,"""Sage Inttact insures GAAP compliance""",Where do you start? The Consolidation is extremely useful and efficient. The level and depth of reporting and the dashboards provide quantifiable data to facilitate decision making and accelerate growth. Multi entity and multi currency is easy to manage and report. Intacct makes revenue recognition compliance significantly easier. Review collected by and hosted on G2.com.,"Like any of the larger accounting systems, Intacct can be a bit clunky with a steeper learning curve than the lower tier systems (Quickbooks / Xero ) but then the benefits are far greater. Intacct can be difficult once you get off the rails - it can take multiple clicks to remove warning for simple typo's Review collected by and hosted on G2.com.",We have used Intacct for multiple companies - automated consolidations - bringing data into Intacct efficiently and quickly - revenue recognition compliance - integration with bill.com - automation of the accounting process. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2020-02-13,"""Excellent, simple and easy to use financial reports.""","Online approval of purchase orders, invoices and checks preparation. Review collected by and hosted on G2.com.",Additional license cost of assigning approvers for accounts payable transactions and checks approval. It becomes too costly to have a license for each approver. Review collected by and hosted on G2.com.,Easy to use financial reporting. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.0,2019-10-23,"""Anthony Darabos Review""",I like how professional the event is everything looks and feels like it was planned out by the best of the best. I also like how their are many options in breakout classes. The venue locations have been great as well. Review collected by and hosted on G2.com.,My main complainant is that many breakout sessions are about third party software I feel like the breakout sessions should be about learning how to best use Intacct and not sales pitches that is what the expo is for Review collected by and hosted on G2.com.,"The main problem we are solving is re-entry of data in multiple systems. Additionally, we are using it to link to our other software Review collected by and hosted on G2.com."
Tracey M.,Finance Director,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2019-10-23,"""Sage Intacct is the Tesla of accounting softwares.""",I love the ability to attach supporting documentation to every transaction. At audit time I don't spend any time looking for paper. Review collected by and hosted on G2.com.,It is frustrating that most actions are executed by hovering over a pop-up menu. This makes it especially challenging to create step-by-step instructions for training. I hate that pop-up dialogue boxes open too small and must be navigated using the slider bars. Review collected by and hosted on G2.com.,"The ability to have multiple dimensions and track by account, grant, project, fund, restriction is essential for my organization which has dozens of different funding sources and projects. Review collected by and hosted on G2.com."
Paula J.,Accountant,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2019-06-27,"""""Adaptable, fit, continually updating programming""""",This bookkeeping programming can be exceedingly tweaked to your organizations needs. From custom answering to uncommon email formats to custom receipt/proclamations. I like the robotization of my month to month solicitations and the group procedure to send them full scale without a moment's delay. Our organization requires point by point reports for various offices and advances and we had the option to get all the data we required. Review collected by and hosted on G2.com.,"Starting arrangement was driven by a less experienced usage authority which prompted challenges as we evaluated and make custom reports precisely. In the wake of talking with an advisor, we decided the issues, amended them, and have created continuous propelled reports which have given a dimension of understanding which was unachievable inside other bookkeeping programming. Review collected by and hosted on G2.com.",We utilize Sage Intacct Dashboards to convey money related outcomes to our numerous areas in various states. Our inside correspondence has been enormously improved because of these Dashboards. We were likewise ready to drop an outside Accounts Payable program and utilize the in-application obtaining module to process practically a great many solicitations every month. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.0,2019-06-25,"""Needs better UX/Customer support but solid accounting software overall""","What I like most about intacct is the new UI interface. It's not completely done but it is a huge improvement over the old one. Also coming from quickbooks, Intacct is more scalable and much faster. As a developer, the API is also pretty easy to use and smart events is useful. Review collected by and hosted on G2.com.","As a developer, I hate that it uses XML and not JSON. Documentation is sort of lacking and I wish you could change the naming of certain things, like Sales Invoice and Sales Order. Setup and implementation was a pain. You have to pay a third party to help you implement intacct, and until you're fully implemented you can't get tech support. Instead, the third party has to contact intacct for you, which takes forever. Not sure why I can't just contact intacct directly, seeing as we're paying for it. Honestly if I didn't already pay for it and was in charge, I would have gone with someone else because it was that frustrating. Review collected by and hosted on G2.com.",We were solving the problems with using quickbooks for a medium size company. It didn't scale and was too slow and clunky to keep using. Benefits include better reporting and better accounting in general. Review collected by and hosted on G2.com.
Shelley W.,Purchasing Analyst,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2019-10-23,"""Purchasing Review""",The look of the user interface and sync integration with SFDC chatter Review collected by and hosted on G2.com.,"There are some missing standard purchasing features. For example, Intacct does not close a PO accurately. The close feature changes to fully converted instead of closed. if fully converted, this looks like all the funds were utilized. It should just close as partially converted and show funds remaining and be able to reopen for those remaining funds. Review collected by and hosted on G2.com.",I am trying to revise the purchasing approval workflow. The benefit I realized is that you can have multiple approval workflows. Review collected by and hosted on G2.com.
Pia v.,Accounts Receivable Lead,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2019-11-12,"""Accounts Receivable Lead""",Ease of automation for integrations and can handle a large volume of data. Review collected by and hosted on G2.com.,Can be incredibly complex and time-consuming to learn all the modules at first. Review collected by and hosted on G2.com.,"Automated invoicing, deferred revenue schedule automation, reporting is clearer, elimination of using Excel in some cases. Review collected by and hosted on G2.com."
David P.,Customer Success Operations Manager,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2019-07-12,"""Quick Intacct Review""",One of the main reasons Intacct was chosen over other options was because of its abilty to be customized more than others systems. Having more customization allowed it to work better for us as opposed to having a cookie cutter system. Review collected by and hosted on G2.com.,"With customization always comes unique problems. We usually had issues setting up customized features and would need to open tickets and/or walk through with support to get it resolved. However, that was a pleasant process and they spent lots of time solving our issues. Review collected by and hosted on G2.com.",We use intacct for our account and subscription billing. It is much easier to process our month end close and access any financial data that in the past we had issues with. Review collected by and hosted on G2.com.
Aimee D.,Executive Administrator,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2019-06-25,"""Makes Global Consolidation a Breeze""",Multi entity and multi currency consolidation is a breeze. With over 40 entities in both the US and Canada this software made our month end close so much more efficient. Reports are easy to customize to what we want and I love that we can create certain groups to look at. Review collected by and hosted on G2.com.,We have definitely found some quirks along the way but all have been corrected with some help. Some of the automatic transactions have been wrong (incorrect journal or incorrect accounts) but Sage Intacct has corrected the problems quickly for us. Review collected by and hosted on G2.com.,The global consolidation sold us on the product. It is amazing how much time we save with that alone. Review collected by and hosted on G2.com.
Jake W.,Billing,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2019-03-29,"""Great accounting tool""","I really like how easily accessible invoices are for every account. I also enjoy how easy it is to interpret all of the information on this site, both for me and for the version that the clients see. It was very easy to customize the invoices that we use. Review collected by and hosted on G2.com.","I dislike the fact that you have to enter the customer ID each time you need to switch from an office's invoices, to their account info, etc. I have to click out of the invoices tab and click on the accounts payable and reenter the company ID to see accounts payable and I have to do the same process for looking at account info. Review collected by and hosted on G2.com.","We are able to easily keep open books with our customers and provide them with all the billing information they need. It was very easy to set up the general format for our invoices, it looks clean and was easy to build. It gives our company a very professional look, as this is the main source of information that they have from us directly. Review collected by and hosted on G2.com."
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2019-11-19,"""Sage Intacct - top cloud ERP""",One of the best aspects of Sage Intacct is the ease of use. The user does not need to know the system front and backwards to get the information that he or she needs. Review collected by and hosted on G2.com.,Sometime the AP functionalities do not update to what is expected. Meaning duplicating a Bill in AP will create issues if you are not paying attention to what you are doing. Review collected by and hosted on G2.com.,One of the best qualities of the software is availability and access to the data. I can run reports all the time without having to wait for something to refresh overnight. Review collected by and hosted on G2.com.
Terri K.,Controller,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2019-10-23,"""Excited to Use our New Software""",We signed our contract about three weeks ago and are just getting started with the system. You guys put on a great conference that demonstrates your product and we are looking forward to using Sage Intacct to consolidate international financial statements. Review collected by and hosted on G2.com.,That there is not automatic integration with our bank in India. HDFC. Review collected by and hosted on G2.com.,Haven't realized any benefits yet because we haven't started implementation yet. Looking forward to using the international feature to consolidate books and having an automated workflow for AP and AR. Review collected by and hosted on G2.com.
,,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,4.0,2019-10-11,"""Financial management system with great customer support""","Sage Intacct is a useful source of integrated financial reporting data. It is very well-regarded in the industry and has AICPA accreditation, which is exceptional. It delivers a high level of automation around billing and reporting and I have found that clients who use it (I am a business accountant) maintain a high level of compliance with external and internal auditing. Sage also excels in customer service and support for its products. Review collected by and hosted on G2.com.",Sage Intacct has few drawbacks as a cloud-based management system. There is room for improvement around its handling of multiple entities and currencies for international firms. Review collected by and hosted on G2.com.,Sage solves the problem of integration of managing and reporting features on a cloud-based system. It helps to reduce financial errors and keep the business ready for auditing. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2020-02-23,"""Good product """,I like the integration with salesforce and how straight forward it is. Review collected by and hosted on G2.com.,The lack of options with the integration. If i want to base it on another field or record type its a big workout. Review collected by and hosted on G2.com.,Our invoicing is a huge issue since we are multi product. Intact allows us to invoice in a way that works best for us. Review collected by and hosted on G2.com.
Robert S.,Ministry Assistant,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2019-06-02,"""Best for churches""","The product is extraordinary. It is too simple to utilize and practically difficult to break. It tends to be utilized for more than your month to month bookkeeping. We use it to follow our valuation procedure. It is anything but difficult to follow everything in the product and play out your month to month bookkeeping assignments. You can follow t&amp;e, ap, ar, fixed resources, and do your money the executives in this arrangement. There are numerous different highlights that make it a top tier arrangement Review collected by and hosted on G2.com.","The product itself is incredible. There are sure things we might want to have the option to follow in the product, as irr, however we likewise don't anticipate that one programming should do anything. There may now and again be a slack in help hitting you up when you have issues, however nothing that is excessively extraordinary Review collected by and hosted on G2.com.","sage Intacct is an extraordinary organization to work with. Their product arrangement is incredible and simple to utilize. In the event that your hoping to transform from an obsolete arrangement, this should make the change simpler. Review collected by and hosted on G2.com."
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,3.5,2020-02-11,"""Much better than Quickbooks""",Improved accounting processes by providing automation solutions. Review collected by and hosted on G2.com.,There's a lack of bulk data update functionality. It's there but it doesn't work well because there's no template available. Review collected by and hosted on G2.com.,AR and AP automation. Improved controls with user / role permissions. Review collected by and hosted on G2.com.
,,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,5.0,2019-08-12,"""Intacct Review""","Great system if you are looking for something new. Dimension tagging in the system gives you visibility in areas you wouldn't have thought possible. You can use this system without having to use a separate reporting tool if necessary. So glad we made the switch!
System is user friendly, dashboard capabilities are excellent, help feature in the system is excellent and makes it easy to troubleshoot and fix errors without having to reach out to a 3rd party. Review collected by and hosted on G2.com.","Ironically, the reporting is very complex and difficult to manage in the initial stages. Once you have a longer term understanding it is very manageable. Review collected by and hosted on G2.com.","Intacct solved our issue of reporting by supplying us with timely, accurate reporting. Due to Intacct's ability to run many different reports for all different departments, we are able to give every department in our company an accurate view of the specific financial dealings within their departments. No longer did we have to keep multiple spreadsheets in which caused confusion and human error. Review collected by and hosted on G2.com."
Josh S.,Billing Specialist,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2019-04-03,"""Easy to Use""",Sage Intacct provides a complete way of managing both the accounts of the customers and the accounts of the company. Review collected by and hosted on G2.com.,"Intacct provides and easy way to access all the payment information needed, nothing to complain about. Review collected by and hosted on G2.com.","Accounts Payable, Bills, and Receivables are all managed and kept in a safe and easy to use environment. This has helped ease the conversations of money with customers. Quick and Easy access. Review collected by and hosted on G2.com."
Kim G.,Accountant,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2019-05-22,"""The experience has been great. Very flexible and customizable software.""",We changed from a manual recordkeeping framework to this electronic bookkeeping framework. This implies the majority of our exchanges are accessible to be audited whenever from anyplace. Reports are accessible immediately mirroring the most recent exchanges. Value-based history to audit action from creation to being presented on the GL is colossal and supportive. The product offers a lot a greater number of adaptations of reports than was accessible with our earlier heritage framework. Review collected by and hosted on G2.com.,A standout amongst the most troublesome things with this framework is that client confinements keep Custom Reports from being available to 75% of our clients. The report composing devices would profit by an upgrade to permit converging of different information tables and more customization of the report appearance. Likewise there are such huge numbers of viewpoints influenced by making a GL Account that there is a precarious expectation to learn and adapt in understanding where to productively create new records. Review collected by and hosted on G2.com.,By having the option to computerize our budgetary movement we have expanded the measure of data accessible to key leaders for increasingly educated choices. The measure of time it takes for us to process obtaining exchanges has diminished by a sensational measure of time . Review collected by and hosted on G2.com.
Tyler S.,Finance Director,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2019-03-05,"""Worth the Investment""","This product has changed the way we do business. The report wizard tool is simply unmatched. We can create a report to reveal the information we want to see, when we want to see it. We don't feel constrained or limited especially with the dimensional flexibility. We appreciate the quarterly updates and the investment that Intacct continues to make in making a better product! Review collected by and hosted on G2.com.",There aren't many negatives I have found with Intacct. The only one that really comes to mind is with the user set up. In order to do anything other than view information we would have to pay for additional business users. Not super expensive but wished we'd known that before hand. Review collected by and hosted on G2.com.,"We are streamlining almost every process. From our front end AR system to our AP process, we've reduced our time frames from days to a matter hours. We've also cut out much of our paper usage. One of the most streamlined processes has been our AP invoice entry process. With the ability to duplicate invoices from older ones we don't need to re-enter information over and over. Review collected by and hosted on G2.com."
Kristi W.,Accounting Manager,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2019-10-24,"""Intuitive & User Friendly""",I like the fact that it is easy to navigate through the system. I also like the new collaborate feature to communicate within Intacct. Review collected by and hosted on G2.com.,"Smart Events and Smart Rules work, but are very clunky to code. This needs an easy-to-understand user interface Review collected by and hosted on G2.com.",We use dashboards to easily articulate financials to non-accountants. Review collected by and hosted on G2.com.
Chantell H.,Controller,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2019-02-27,"""Sage intacct is the perfect next step after Quickbooks""","I like how versatile the software is. You can have less features for a more basic platform, but you can also add so many feature to make the accounting software specific to you specific company needs. The reporting options are great and the learning platform is truly helpful in knowing how best to use the software. Review collected by and hosted on G2.com.",I feel like the customer services in lacking. I have an account manager and I don't really know what his/her purpose is. I'm never sure who to contact in an emergency. I do use the submit a claim feature but sometimes it is nice to have . Specific person to contact regarding the account that can help with random questions. Review collected by and hosted on G2.com.,We have been able to have so much more control over our budgeting and forecasting. Being able to upoad our forecast the the software and then generate a report that compares actual to forecast has immensely helped with our planning. Review collected by and hosted on G2.com.
Chad S.,Senior Applications Developer,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2019-02-27,"""Intacct is a well-designed Financial system with a lot of flexibility for any company""","It is highly customizable, fairly easy to navigate around and use. It supports multiple tenants and can easily (usually) be tweaked to fit the company's business requirements in most situations. Screens can be customized and you can even create your own reports (although not a simple process). It also supports a fairly mature API to assist in automating or updating information into a local database if needed, although it's a bit dated. Review collected by and hosted on G2.com.","There are only a couple of places where Intacct could be improved. First, the API is XML based instead of the highly-favored and much more compact JSON format. Not all tables in the system support web hooks (but probably 99% do). There is not a provided driver to pull information from Intacct to generate cross database reporting. It can be a headache to do reporting from Intacct when you need to pull in information that is not already in Intacct or to pull information from another system and Intacct. Review collected by and hosted on G2.com.",When needed a financial software that would handle our day-to-day business needs since our existing software had been deprecated and was unsupported. Review collected by and hosted on G2.com.
Jocelyn P.,Finance Manager,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2019-10-24,"""Informative, Nice Pace""","I think Linda is a great speaker. Also, I've learned some new things regarding dimensions that I will start using in order to get rid of a giant excel tracker we currently use. Review collected by and hosted on G2.com.",Sometimes the sales calls are relentless afterwards. Review collected by and hosted on G2.com.,I think we just aren't fully utilizing it. We could do so much more. I've been talking with some intacct employees on perhaps getting an audit or changing partners. Review collected by and hosted on G2.com.
Kyle R.,Controller,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2019-10-23,"""Easy to Use""",Sage Intacct has a lot of reporting capabilities. It allows us to integrate with other business applications that our company uses. Review collected by and hosted on G2.com.,I have yet to find a way to link multiple data sets. It would be helpful if there was a list of items in each data set. Review collected by and hosted on G2.com.,Sage Intacct allows us to organize all of our expenses and shows us trends on our overall spend. Review collected by and hosted on G2.com.
Mellisia J.,Assistant Controller,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2019-10-23,"""Tool that Customizes""",The fact that the tool can be customized to meet your business needs Review collected by and hosted on G2.com.,"I do not like the new ""log a case"" support process. Sometimes you want a really quick fix on the fly and it delays your process Review collected by and hosted on G2.com.",Currently the dunning notices have helped with our aging. The system sends out these notices automatically and client responses are faster -thus payments are faster Review collected by and hosted on G2.com.
Kim F.,Controller,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2019-10-23,"""Effective and Efficient""","I love the purchasing workflows. It makes purchasing approvals easy and seamless. No chasing down people to approve, They can do it from home if they aren't in the office. Review collected by and hosted on G2.com.",I find that setting up the various levels of purchasing approvals is cumbersome. Review collected by and hosted on G2.com.,Getting rid of paper! The cloud has allowed us to be more efficient as we are able to work from anywhere. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2019-11-12,"""Overall The experience with the short time using Intacct has been great""",The most helpful function of Intacct as been the reviewal and approval of invoices and allowing me to control expenses Review collected by and hosted on G2.com.,The downsides of using intacct are having to open a ticket to resolve in issue Review collected by and hosted on G2.com.,Sage has impacted the company greatly by the flawless financial reporting and the real-time data that management can receive Review collected by and hosted on G2.com.
Glynis B.,AR &amp; Revenue Manager,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2019-02-27,"""Always excited to see what else we can do with the system and any new features""",I would say what I enjoy most about Intacct is that you are able to create anything you can imagine and pretty much put into play. It is easy to manage and always changing. There are great releases that happen and allow you to continue to grow and evolve with the times. Review collected by and hosted on G2.com.,"I would love to be able to send customer statements from the system with custom messaging, which is not available currently. Also would be great if you could see a transactions GL affect from the transactions itself without having to memorize each transaction setup. Review collected by and hosted on G2.com.",Efficiency in time from invoicing customers to paying vendors. Close has significantly been reduced in time. Better reporting capabilities. Review collected by and hosted on G2.com.
Braden B.,Accounting Manager,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,4.0,2019-10-24,"""Intacct allows us to confidently control our environment.""",We are able to look at information in real time and determine the best way to use the information in order to build reports. Review collected by and hosted on G2.com.,I would want to see open periods in a report. The report writer could be more intuitive. Review collected by and hosted on G2.com.,We are able to look into our labor costs and see exactly what is happening by using statistical accounts and comparisons. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2019-10-24,"""Highs & Lows""","The integration between Salesforce &amp; Intacct allows my co-workers to see important pieces of the customer story like invoice status. The use of Contracts allows us to automate our monthly contracts, and allows for changes to be made directly from Salesforce. Review collected by and hosted on G2.com.",I feel like the user interface uses wording that can be hard to understand for less technical people. Setting up the automation take a long time &amp; sometimes doesn't work the way we need it to. Review collected by and hosted on G2.com.,"Keeping track of hundreds of renewing contracts. The import functionality is really useful for importing employee expenses, credit card transactions, and JEs. Review collected by and hosted on G2.com."
