Name,#Stars,Date Posted,Title,Description,Date of Experience,#Useful
Nancy Dietrich,5,2021-09-06,Jorge loved the box.but i think i…,Jorge loved the box.but i think i wouldn't have the toughest ones msybe middle tough,2021-09-06,0
Kristy,5,2021-09-06,My dog loved her bark box,My dog loved her bark box! The toys were great the treats were great! We will continue to subscribe to bark box in the future.,2021-09-06,0
Staci Brock Wood,5,2021-09-06,Extremely pleased with the entire…,Extremely pleased with the entire contents of the box. I called customer service with questions and they are extremely helpful. Communication was good with awesome results.,2021-09-06,0
Brandi,5,2021-09-03,Amazing,"After buying tons of toys that have been unsatisfactory for my fur baby, I thought I'd give BARK box a try. I couldn't be more pleased! The toys are so far holding up & the treats are making my boy happy. The customer service is exemplary for questions & concerns & I couldn't be more happy with the product so far!",2021-09-03,0
Anthony Rocha,5,2021-09-03,I love the company and I’m grateful…,I love the company and I’m grateful that they care so much about the happiness of my doggy. They always strive to make sure that my dog is happy with his box. It makes a difference that they really try to personalize the experience for each individual dog.,2021-09-03,0
Holly F,5,2021-09-03,Our dog Blue received his first box and…,"Our dog Blue received his first box and he loves it.  We do too because we were never able to find a toy or ball he didn’t destroy or eat the 1st day!!
Looking forward to his second box for September!",2021-09-03,0
adri freeman,5,2021-09-03,I had an awesome experience.,I had an awesome experience.,2021-09-03,0
Michelle B,5,2021-09-03,My dog absolutely loves the toys and…,My dog absolutely loves the toys and treats. My only issue is I wish I could choose the toys since my dog prefers to chew instead of playing fetch.,2021-09-03,0
hkayla,5,2021-09-03,Rufus shares his bark box with his lil…,Rufus shares his bark box with his lil pup bro! And they just go nuts when they see box! They know what it is!,2021-09-03,0
Michelle Terry,5,2021-09-03,This is bark far an amazing company to…,This is one  bark  an amazing company to trust with your dog everything is personalized for my fur baby love my bark box,2021-09-03,0
Daniel Perchman,2,2021-09-04,Barkbox is a scam,"Barkbox is a scam. 
Paying almost 50 for a small bag of dog treats and two toys is rip off. 

Not only that they gave the wrong size toys and food for my puppy. I entered the weight and the correct bread yet the toys and food are far to big for my puppy. Wouldn't buy again .",2021-09-04,0
Ambernicole Larner,5,2021-09-04,The box is great,The box is great. The time frame for ordering and shipping and recieving is great. The only complaint was that one of the items that were supposed to be in the box was not.,2021-09-04,0
Linda Bowe,5,2021-09-04,Best customer service,Best customer service polite and accommodating,2021-09-04,0
nanandsas,5,2021-09-04,My dog loves the bark box,"My dog loves the bark box. She gets so excited when the box comes and she loves digging in the box to
Pull out each item. Her favorites are the chews!! And she loves the treats too. The toys are always size appropriate too",2021-09-04,0
Daniela Caldarola,4,2021-09-04,I love Bark Box and the items we…,I love Bark Box and the items we received. The toys are tuff and sturdy enough for our chewer Sage to last at least a week unlike most other toys on the market. (Including Kong toys). All the treats are yummy. Sage loves everything. And I love how the size and shape of treats go with the type of treat holder toy of the month. Highly recommend this to everyone.,2021-09-04,0
Kendra Hicks,5,2021-09-04,Buddha loves receiving BarkBox’s,Buddha loves receiving BarkBox’s. 🐶 He has become familiar and excited each month when the box arrives and one by one we go through the colorful and exciting new toys and treats. This is by far the best investment I’ve made for him as a dog mom. 😊,2021-09-04,0
Payton Dockery,5,2021-09-04,Our dog loved everything in his box!,Our dog loved everything in his box!  The crinkle and squeak of all the toys keeps him entertained. The treats are his favorite!  Especially the maple bacon oatmeal!,2021-09-04,0
Magnolia Mae,5,2021-09-04,LOVE THEM,Maggie absolutely loves her boxes ! She rides with me to go get the mail and gets super excited when she sees her box !,2021-09-04,0
Beverly Raastad,5,2021-09-04,Wonderful choice to subscribe!,"We first saw Bark box on Face book. We decided to give it a try. Our first box arrived with a free gift. Our super chewer is a Belgian Mainois his name is Jasper. Jasper like a lot of dog of this breed is high strung and has a lot of anxiety. The toys that arrived he loves, Jasper was so excited when I opened the box and he saw it was for him. He chews and carries his toys around the house, he will even brings the Brawney Bugs Bunny to bed at night.The Space Jam basket ball is his favorite. I highly recommend Bark super chewers to all dog owners.",2021-09-04,0
AMANDA VINSON,5,2021-09-03,Toys are great,Toys are great. Our dog hasn't destroyed one yet.,2021-09-03,0
Lori McCasland,5,2021-09-03,My dogs absolutely love it,My dogs absolutely love it. They can smell the joy through the box and get so excited to open them up!,2021-09-03,0
Waldo R,5,2021-09-03,Always fantastic customer service,Always fantastic customer service. Quick response and helpful associate. This is why we love Barkbox!,2021-09-03,0
Alison I.,5,2021-09-03,Love,"Love, love, love the oh so creative toys Bark ships out every month. They make my day, and my dog's too :)",2021-09-03,0
Karen Wigley,5,2021-09-03,I was very impressed with the box,I was very impressed with the box. Bella will be getting a different box next time because she is so small.,2021-09-03,0
Jennifer Hoffman,5,2021-09-03,My two dogs loved the treats and toys,My two dogs loved the treats and toys! Thank you!,2021-09-03,0
Alyx ,5,2021-09-03,Love it!,My dog loved his first bark box and is anxiously awaiting more!,2021-09-03,0
Teresa Hanson,5,2021-09-03,Happy dog Happy mom,Nugget loves getting his bark boy he has only received 1. But he loves his treats and plays with his toys everyday all day. It makes my heart so happy to see him so excited about playing with them.,2021-09-03,0
COLLEEN,5,2021-09-03,We love Barkbox!!,"My pups get so excited when they see a box on the doorstep, because they think it is the Barkbox, and they LOVE their Barkbox.  The treats are always a big hit, and they love the toys.  The quality for the price is well worth it!  I also  can't say enough about their customer service, really top notch.  They check EVERY month as to whether we enjoyed our box, and if we didn't, they ask detailed questions to understand why, and then always replace the toys that were not a big hit. Probably the best customer service experience I have ever had with a product, and they are consistent every single time.  Well worth the monthly price!!",2021-09-03,0
Maggie Pollio,5,2021-09-03,I loved my bark box especially the…dumplings,I loved my bark box especially the dumplings and take out box! I play with it for hours! Thanks Bark Box!,2021-09-03,0
Neeko Woods,4,2021-09-03,We really liked our box,"We really liked our box, although it looks like my bank account shows that I was charged twice within 3 days? Can you help me resolve this?",2021-09-03,0
Jan and Brody,5,2021-09-03,Brody's box was late and Barkbox sent…,Brody's box was late and Barkbox sent him a bag of treats,2021-09-03,0
Reckless Bullies ,5,2021-09-03,Was unsure but now love it,"I wasn't sure about getting the barkbox for my dogs and finally I decided to try it and see how things go and give the dogs a variety of things to try each month.
It has been tough enough toys for my American Bullies and my pitbulls! Only one toy was actually ruined the same day and that was a somewhat soft basket ball looking toy. The treats were awesome!!",2021-09-03,0
Kaitlyn Richards,5,2021-09-03,Khaleesi,My daughter (and dog) was very happy with the extra toy folded up in the bed!  Khaleesi loves all the toys and treats that came and we all are excited for her next box.,2021-09-03,0
Mary Moon,5,2021-09-03,It’s so much fun,It’s so much fun! My khloe loves the treats!,2021-09-03,0
Marissa Monteiro,5,2021-09-03,The sign up was easy,"The sign up was easy. The first one box came so quickly, Girlie started playing with her new toys immediately! The box was full of goodies, exactly as advertised and beyond satisfactory. She’s so excited for her next box",2021-09-03,0
Angus Reddin,4,2021-09-02,Good but toys were torn to shreds in…,Good but toys were torn to shreds in hours and I wish the treats were bigger for bigger pups.,2021-09-02,0
speedy,5,2021-09-02,As of now,As of now. Sunny and I are happy with Bark. thank you for listening to our suggestions.,2021-09-02,0
Lori Sekerak,5,2021-09-02,Great and easy to sign up for,"Great and easy to sign up for. 
Didn't receive an item in the box told customer service and received it today by fed x ... 
Thank you so much !!! 
Keep up the great work !
Lori , Appa & Storm",2021-09-02,0
Roxy Tawney,5,2021-09-02,Roxy loved everything in the box.,Roxy loved everything in the box.,2021-09-02,0
Kaitlynn Mace,5,2021-09-02,I love BarkBox!,I love BarkBox!! The themes are hilarious and so creative. My dogs know when it’s their package and they get so excited to play with all their new toys! They also seem to love the treats and I love that they are full size not sample packs! I recommend BarkBox to everyone with a dog!!,2021-09-02,0
Naomi Tiscione,5,2021-09-02,We have used Bark Box at various times…,"We have used Bark Box at various times over years. Lots of Bark Boxes, individual toys, treats, and now Bark Bright. We love it all!",2021-09-02,0
Brittany Zabodyn,5,2021-09-02,She loves everything <3,She loves everything <3,2021-09-02,0
Henrietta Willer,5,2021-09-02,My Bentley knows the box and he waits…,My Bentley knows the box and he waits by the counter waits for me to open it.  He loves the toys and of course the snacks.  We both just love the BarkBox!!!,2021-09-02,0
Babee Girl,5,2021-09-02,The Bark Box is so much fun!!,"The Bark Box is so much fun!!! Babee Girl can smell the treats inside and knows that her Bark Box has arrived. We have so much fun opening to see what theme the box is and the toys that are just the right size, durability, and shape for her breed. The themes are so cute and the toys and treats all go together. The next box next arrives soon enough!!!",2021-09-02,0
Jetboy,5,2021-09-02,If you are inclined to buy any toys for…,"If you are inclined to buy any toys for your furry best friend, get a Bark Box subscription. My beagle loves the toys and the treats. In fact, I give her the entire box - she loves ripping the cardboard apart 😂!  The toys are well made and last longer than any toys I’ve purchased from other stores.",2021-09-02,0
Kelly DaSilva,5,2021-09-02,Fast and excellent customer service,Fast and excellent customer service!  Can't wait for my dog's next box!,2021-09-02,0
NIKKI Patterson,5,2021-09-02,What a great idea!,"What a great idea! Our 4 poms know their box when it comes. They are all elderly, so changing our box to 4 treats and 4 chewies, instead of toys was a good call. The poms wouldn't be interested in toys at this age.  It has worked out perfectly.  Thank you, Barkbox. Keep them coming!",2021-09-02,0
Krista Cook,5,2021-09-02,Amazing service as always and the Team…,"Amazing service as always and the Team is always so very helpful. 
They also go out of their way to make you and your pup feel special.
Thank you Bark team
Raven&Me
🐾💕",2021-09-02,0
Debbie Brin,5,2021-09-02,Roxie and her 1st Bark Box,Roxie loves all her special items.  The chew toys are keeping her busy and her mind off the recent spay.  When she hears the bag for the treats she patiently waits.  I live the treats they are easy on her stomach. She has a sensative digestive system.  The duck chew is her favorite.,2021-09-02,0
Paige Carey,4,2021-09-03,Henry loves his BarkBoxes!!!,Henry loves his BarkBoxes! He gets toys he loves! Some he destroyed so quickly and BarkBox replaced them with tougher options! Henry hasn’t destroyed them all yet. Thank you for spoiling my puppy!!!,2021-09-03,0
Lorrie Lynch,4,2021-09-03,Tiny enjoyed the toys and the treats…,Tiny enjoyed the toys and the treats but wish the treats were a little softer as she is older so hard for her to chew ! I did feel like for the price only 2 toys wasn’t much of a deal but it’s ok ! I will see how this 6 months go and decide if we will continue or not ! Hope we do !,2021-09-03,0
Donna Revell,5,2021-09-02,My baby loves his boxes.,My baby loves his boxes.,2021-09-02,0
Sharon Wegner,5,2021-09-02,Live it!,"Not sure what to say. I love it. And, most important, Gunnar (my 4 mo's old, 50lb golden retriever) LOVES it!!!!!! He didn't know what to grab first. It was one of the best decisions I've made",2021-09-02,0
Vicky V,4,2021-09-02,Great service,Great service. My dog loves the treats and toys. Only reason I’m not giving 5 stars is because I have been asking for no more nylon toys but my past reviews on my boxes have clearly not been seen.,2021-09-02,0
Caitlin Teichroeb,5,2021-09-02,Absolutely outstanding company,"Absolutely outstanding company.  The customer service is a whole other tier, and the product is second to none.  I love the monthly themes, they're so clever, and the quality of the toys is exceptional.  My dogs consistently choose Barkbox toys as their favourites.  I've been with these guys for a few years now and I will stay with them as long as they're in business.  My dogs open their own boxes and get so excited when we get one.",2021-09-02,0
Mr. JOSEPH FOSSA LOFTGREN,5,2021-09-02,Great customer service...always making…,Great customer service...always making the experience valuable.,2021-09-02,0
Mara COSTANTINI,4,2021-09-02,"Boxed well, fun toys n treats","Boxed well, colorful card inside, good assortment of toys, all squeeky, needed to adjust future shipments for our aggressive chewer. Customer service is speedy and very accommodating.
Happy with products.",2021-09-02,0
Cathleen Zaring,5,2021-09-02,Wasn't sure Bark Box was a fit for us,"Wasn't sure Bark Box was a fit for us, so I reached out to the customer service and explained our issues. Happily, after a couple different attempts, we have found a good solution. Rosey dog is very happy with her Bark Box now. Each time I reached out to your team, you have listened and gone above and beyond to be most accommodating. Thank you!",2021-09-02,0
JustAnswer Customer,5,2021-09-02,Bark Box is the greatest!,"Bark Box is the greatest, and if not, they will fix it!!",2021-09-02,0
Ann,5,2021-09-02,Charlie loves the box!,Charlie is loving the treats and the chew toys.,2021-09-02,0
customer,5,2021-09-02,Buttons knows when the mailman delivers…,Buttons knows when the mailman delivers BarkBox!  She tears open the box to get to the toys!!!  She plays with them all & does not destroy them.  Loves the snacks too!  Toys are good quality & sturdy for our 11 pound girl!  THANKS BARK BOX & the helpful folks that correspond with Buttons & owner!,2021-09-02,0
KB's Crew,5,2021-09-02,Happy dogs! Yay!,My dogs are always so excited when they see their Barkbox box! The toys are top quality and the treats are top notch.,2021-09-02,0
Jahmel Halabi,5,2021-09-02,I had a small issue and it was resolved…,I had a small issue and it was resolved immediately. I love Bark and recommend it to everyone!,2021-09-02,0
Camilla,5,2021-09-02,Pebbles loves getting a box every…,Pebbles loves getting a box every month. She wants to open it herself,2021-09-02,0
Marti ,5,2021-09-02,The box is perfect for my dog,The box is perfect for my dog! It was sent faster than anticipated. My dog has played with all the toys and has thoroughly enjoyed his treats! Looking forward to the next month,2021-09-02,0
Shannon,5,2021-09-02,Nothing is perfect BUT the customer…,Nothing is perfect BUT the customer service at BARK is amazing! They have always gone above and beyond to make my pup and me satisfied! If I ever have a problem with a toy they have offered to replace it. Any issue I’ve ever had they have made it right! We all expect perfection this day in age but that is not reality. What maters is how issues are handled and corrected! I highly regard customer service and BARK does it right!,2021-09-02,0
Meghan ,5,2021-09-02,I have had nothing but positive…,"I have had nothing but positive experiences with this company, and I would recommend them to absolutely anyone!",2021-09-02,0
Katie Lovin,5,2021-09-02,Awesome company,They listen to comments and are all about the pups!!,2021-09-02,0
Katie Crux,5,2021-09-02,Fast and efficient,Fast and efficient. Was ready and wiling to help. Kind and polite.,2021-09-02,0
Gracie,5,2021-09-02,The best subscription box,I love bark box! The toys are so cute and my dog seems to really enjoy them. I love the themes that come with every month. I get excited for it every month. Would highly recommend bark box!,2021-09-02,0
Roseanne Kohler,5,2021-09-02,A 👍 okay.  Thank you,"A 👍 okay. Quality toys and treats for my pups. 
Thank you 🙏🏾",2021-09-02,0
Colleen Correll,5,2021-09-02,BarkBox excitement cannot be contained!,"BarkBox supplies hours, days, weeks, and months of fun for our dog Charlie! The toys we receive from BarkBox and SuperChewer last, and we now have a supply we switch from week to week to keep her engaged. She loves tugging and chewing on her toys each day, and she knows what her boxes look like, so when they come each month, her excitement cannot be contained!",2021-09-02,0
Anthony,5,2021-09-02,Lots  of fun for our  pups!!,Our dogs loved the treats.   The cloth  toys were well loved and played with.  We just had to watch  carefully  as toy parts were chewed  off!!,2021-09-02,0
Cecelia V,5,2021-09-02,Great customer service,Great customer service! Package theme is always inviting.,2021-09-02,0
Ashley Goodine,5,2021-09-02,It was fantastic,"It was great, Tucker loved the box he couldn’t decide what to go for first.  The excitement in him was unreal.. excited over 1 new toy and dropping it with more excitement as another appeared.  Would highly recommend",2021-09-02,0
Mindy Hallford,5,2021-09-02,Sandy loved almost everything!,Sandy loved almost everything!,2021-09-02,0
Laurie Owens,5,2021-09-02,We love bark box !!,"We love bark box ! I started getting bark box for our Abbey because we moved and she was having a hard time adjusting to the new house . Started with the super chewer and found those were to hard for her . I was able to switch to the regular box without any trouble . Customer service is great ! We now have Summer our 9 month old lab , her and Abbey share the toys and treats ! It is great ! I would highly recommend bark box !!",2021-09-02,0
Jeannie Sims,5,2021-09-02,Bark Box has gone above and beyond.,Bark Box has gone above and beyond from what I expected for a dog toy service! I like rating things that I buy and also like reading reviews before I buy something. So of course I review Arvids toys from Bark. And if something breaks right off the bat Bark is on top of it and sending a replacement. Without even asking! Bark I wish other companies catered to their clients like you do and care as much! Thank from my pack to yours!,2021-09-02,0
CONNIE J GOODWIN,4,2021-09-02,I think this place is really great,I think this place is really great.  The do followups to make sure everything is like you wanted.  Lots of toys for your furry friend.  They even interject with your dog.  Great value for your pet.  Thank you bark box.,2021-09-02,0
Brandon Smith,5,2021-09-02,Our dog loves his BarkBoxes,Our dog loves his BarkBoxes!  He even recognizes the boxes when they're delivered now.  Great toys & tasty treats.  And the customer service is how all companies should provide customer service!!!,2021-09-02,0
Cyndi,4,2021-09-02,Toys are a hit!,"While the toys are wonderful and Guinness loves them all, sometimes the treats are just the same old treat month after month.  Guinness gets bored with that, so I find myself going to the store and buying different things so he stays happy.",2021-09-02,0
CR,4,2021-09-02,Garcia the cactus was a hit,"Garcia the cactus was a hit and so was the other toy, the treats not so much.",2021-09-02,0
Laura H. & Blueberry,5,2021-09-02,We love our Barkbox,We love our Barkbox! Great quality and variety!,2021-09-02,0
Tom,5,2021-09-01,Very happy with our first box,Very happy with our first box. There was a toy my guy didn't care for and they are sending a replacement! Treats and chews that came with are loved.,2021-09-01,0
Cathy,5,2021-09-01,LOVE bark box!,My dog Bella and I LOVE bark box!! Bella is so excited when it comes. She loves the cloth covered toys with the mystery toy inside. Those are her FAVORITES. She enjoys seeing what tasy treats she gets too. I am so happy I signed her up for Bark Box!,2021-09-01,0
Marigold Chomin,5,2021-09-01,Super cute & fun,Super cute & fun! My pup loved the box and all the fun treats and toys. My favorite was the raccoon in a sleeping bag. 🤣,2021-09-01,0
Christine,5,2021-09-01,Great product,Great product!  So clever!  My dogs LOVE the treats - more than any store bought ones.  So excited for this adventure!,2021-09-01,0
Kelli Hall,5,2021-09-01,My son loved the wwe theme box for our…,My son loved the wwe theme box for our new golden retriever!!,2021-09-01,0
Monica Biggerstaff,4,2021-09-01,We received some very loved treats and…,We received some very loved treats and chews. The only thing that could have been better were the size of toys were pretty small for a larger dog and the ball she received was destroyed the next day after she received it.,2021-09-01,0
Michelle,5,2021-09-01,Harley don't like toys that make noise,Harley don't like toys that make noise,2021-09-01,0
Angie O.,5,2021-09-01,Keebs loved her snacks!,"Keebs loved her snacks, shes scared of the toys lol probably because theyre as big as her lol, but i loved the toys because the Looney tunes and Space jam are a part of my childhood :)",2021-09-01,0
Hazel Rauls,5,2021-09-01,Wonderful love the treats and he did…,Wonderful love the treats and he did not destroy  the toys!,2021-09-01,0
Kara Flores,5,2021-09-01,Bark Box is amazing,Bark Box is amazing. My dog loves it!,2021-09-01,0
MEROLLERED,5,2021-09-02,"Amazing company, best decision I've made with keeping the sub box","Been a Bark Box subscriber nearly the entire time I've had my boy. The toys are a bit weak against his destructive behavior (ALL toys, are so don't judge Bark Box badly on that. He even destroys the ""lifetime warranty"" and ""indestructible"" toys) but he doesn't like rubber toys and we don't like them either (he tends to drop them on our head or throw them at us when we aren't paying adequate attention to his highness). But the themes are amazing, the box options is awesome too. We get the toy only box with 1 extra toy and we ALWAYS do add on's because we found that if we overload the pupper with toys he destroys them at a slower rate (lol, oh he OWNS us doesn't he?!?!?!) but I am always sad when a toy meets the ""toy grave yard"" because they are fun and cleverly designed toys that were fun to play with while they lasted. 

The company itself has been great, any time I've had to contact them about changing plans about or whatnot it has always been super easy and fun because we are able to share photos and stories back and forth of each other's puppers and tell amusing but relatable stories of our loved ones.",2021-09-02,0
Kathleen Furniss,5,2021-09-02,My doggie loved his bark box,My doggie loved his bark box.  He loved the treats and the crinkly squeaky stuffed toys.  Thank you 😊,2021-09-02,0
Deb King,5,2021-09-02,BarkBox is Fantastic!,"A very professional service. It costs more, but the quality outweighs quanity.
My Sammy is gaga for the bullysticks, I highly recommend them Thanks #Barkbox!",2021-09-02,0
Becky Rothweiler,5,2021-09-02,My dogs love the toys and look forward…,My dogs love the toys and look forward to getting the box. They know what it is when we bring it in.,2021-09-02,0
Luna Fraser,5,2021-09-02,Bark box was a exciting way to get my…,Bark box was a exciting way to get my grandpup a few extra things.,2021-09-02,0
Anita,5,2021-09-02,This company is so thoughtful and…,This company is so thoughtful and helpful. Hurricane ida destroyed our town and we don’t have mail service yet. BarkBox team paused my subscription and refunded me because I won’t be able to receive it. Always get friendly notes and emails. We love them.,2021-09-02,0
Michelle Knapp,5,2021-08-31,Quality,Quality toys my GSD & doxies have enjoyed and not destroyed,2021-08-31,0
Kate Langdon,5,2021-08-31,"High quality, unique products","High quality products, by dogs love the snacks, a lot. And the toys are interesting and unique. We got a gas pump hahaha. I have a 12 month subscription I’m excited to see what comes in September!!! Keep up the great work. Bork Bork Bork.  That’s Finn. He’s happy.",2021-08-31,0
Felicia Blankenship,5,2021-08-31,Loved it!,Loved it! Worth the money by a long shot,2021-08-31,0
Leeanne Jensen,5,2021-08-31,Awesome,"Awesome, product delivered quickly. Keef lived his new toys..especially the sqeaky ones! Thanks for having toys for super chewers.",2021-08-31,0
Samantha Schulz,5,2021-08-31,Exceeded Expectations,"The box was incredible! I was surprised by the sturdiness of the toys and the options. They have ""soft"" tough and ""tough"" tough toys for a variety for my fur baby. The box also came with a varied selection of treats that he went nuts over!",2021-08-31,0
bluekristen25,5,2021-08-31,You're pup deserves the best too!,"Oliver is a super happy guy, and I want him to have the BEST for his entire life!
We found it with u guys!!!!",2021-08-31,0
Sarah,5,2021-08-31,Great service all the way through,Great service all the way through,2021-08-31,0
Ed ,5,2021-08-31,Got subscription for my dad’s new puppy…,Got subscription for my dad’s new puppy and I am blown away at how great it is!  Rinney was so excited to open box and instantly grabbed the toys!  Like Christmas Day!,2021-08-31,0
Stephanie,5,2021-08-31,We love bark box!,We love bark box!,2021-08-31,0
Dorothy Scott,5,2021-08-31,Love it,"Love it, everything was great",2021-08-31,0
Judi Katz,5,2021-09-01,Last week I received my first Bark Box,"Last week I received my first Bark Box. I smelled lots of yummy treats and I couldn’t wait for my mommy to open the box so I could dig in! 
OMG was I in for a surprise! Not only were there so many treats, but so many new toys!!
I didn’t know what to “WRESTLE “with first! 
I can’t wait for the next Bark Box to come for me!! I have the best mommy! 
Love Charlie",2021-09-01,0
MommaJ,5,2021-09-01,Customer service is exceptional,Customer service is exceptional! Box was great. Wish I could afford 1 per dog but we just share. :) Spoil your pup the right way.,2021-09-01,0
JULIE Ortega,3,2021-09-01,While the customer service response was…,"While the customer service response was quick, the replacements have taken forever! It's been over 10 days still waiting.",2021-09-01,0
Tina J-Long,4,2021-09-01,Happy Winnie,"The toys in my Winnie’s box were a BIG hit!!! I am looking forward for her to have the treats that she received, because she was too young and not 5 pounds! Looking forward for her next Bark Box!",2021-09-01,0
Ren C ,5,2021-09-01,absolutely love the breakfast box!,"absolutely love the breakfast box we received,
hank loved all the toys and treats !",2021-09-01,0
Karen Mowad,5,2021-09-01,Boys loved it.,It was so fun. Dogs attacked the box when I brought it in. It was just like the commercials. Toys were great. They enjoyed the treats. I will definitely be back.,2021-09-01,0
klm,5,2021-08-29,Great Company!,"My chipoo 14 week old has enjoyed all the treats and toys provided in her 1st Bark Box. Everything was of high quality. Thank you, Bark Box!",2021-08-29,0
Jamie,5,2021-08-29,Snickers love everything about the…,Snickers love everything about the barkbox.,2021-08-29,0
Liska Hall,5,2021-08-30,Our first box was pretty cool,"Our first box was pretty cool!  Mag’s loved the snacks and so far hasn’t been able to destroy the toys. 
Loved the follow up from the company to make sure we were happy.",2021-08-30,0
Anakin Skywalker Marshall,5,2021-08-30,My dog LOVES his Bark Box,My dog LOVES his Bark Box! He enjoyed the treats and cheese and the toys are perfect for him and keep him busy!!,2021-08-30,0
Roberta Page,5,2021-08-30,Spoil your dog!,We all like gifts in the mail!  So does Brooks!  A great way to spoil your dog and let them know you love them.,2021-08-30,0
Sparby,5,2021-08-30,This was my first Barkbox and I was…,This was my first Barkbox and I was more than pleased with the quality of the items and the service.,2021-08-30,0
Kristin Jeffries,5,2021-08-30,First bark box,All treats and toys in the box were great for Daisy!,2021-08-30,0
Tank Smith,5,2021-08-30,Tank loves his treats and toys,Tank loves his treats and toys. Store bought toys don’t last long I’m this house. The Barkbox toys are so durable and just what he needs’,2021-08-30,0
Brandon Olson,5,2021-08-30,To keep it short fed ex dropped the…,"To keep it short fed ex dropped the package off at wrong address,  but bark happy team was on top of it right away. The customer service is amazing! Can't recommend bark box enough. ""Stay Safe and Stay High """,2021-08-30,0
Jamie Kelderhouse,5,2021-08-30,My pup loves everything,"My pup loves everything that came in the box. She hasn't lost interest yet either, like the toys I picked out!",2021-08-30,0
Dawn Davidson,5,2021-08-30,The Best Thing I've Signed our Dogs Up For!!,Ok - 5 stars isn't enough. I'd give you 1 million stars. Both my son's dog Brownie and my dog Mishka love the toys and treats that come in their Bark Boxes (Brownie gets the Super Chewer and Mishka get one for small dogs). And it is so much fun to give them their new toys and treats.,2021-08-30,0
Brad Colyer,1,2021-08-30,Bark box no good,Ordered bark box. Received plush toys that lasted a couple hours. My dog actually vomited from ingesting some of the fabric. I tried to log on to their website to change my order but it wouldn’t take my password. I tried changing my password but the email they sent did not have a link to change password. I spoke with a bot that tried to send me another email to change password. It said to click on the button to change password but there was no button. I am going to cancel my orders because it shouldn’t be this difficult to upgrade to a super chewer box. Very disappointed with the products I recvvd for the price I paid. Extremely disappointed with the level of customer service they provide and a website that is impossible to log into. I had high hopes for bark box but feel they can do a much better job with their customers and website.,2021-08-30,0
Janice Gregory,5,2021-08-30,Annie ( my fur baby) and I LOVED her…,Annie ( my fur baby) and I LOVED her first bark box. Can't wait till the next one,2021-08-30,0
Roe,5,2021-08-31,Adorable toys and treats,"Adorable toys and treats.  However, my dog chewed right through all the toys in no time at all.",2021-08-31,0
Bybypoo,5,2021-08-31,BarkBox is a great way to bring quality…,BarkBox is a great way to bring quality treats & toys to your dig each month for much less than it would cost to buy at a pet store.  Well worth the spend and your dogs will love it!,2021-08-31,0
Amanda Peacock,5,2021-08-31,It was a nice box.,It was a nice box.,2021-08-31,0
Tulip ,5,2021-08-27,Tulip loved all her toys and treats,Tulip loved all her toys and treats. The toys are durable and lasted her longer than others purchased elsewhere. So glad we found you!,2021-08-27,0
Mary Pandolph,5,2021-08-27,We loved the Camping theme box we…,"We loved the Camping theme box we received, we are a camping family.  Normally Oliver would have torn the cloth toys apart by now, they are still intact.  He does not like plastic toys.  Oliver can not go to bed unless he has the racoon toy with him.  He loves playing fetch with the marshmallows and stick. We love the different squeaking sounds the toys make and that the squeakers feel very durable.  Oliver also loves the different treats he received.  We can't wait to get the next box.  Thank you!",2021-08-27,0
Ricky Petit,5,2021-08-27,Kris has helped me get my problems…,"Kris has helped me get my problems straightened out and is a awesome very courteous, helpful, pleasant to talk to and deal with lady. She does what she says and if I could I would put her in for a raise because in my opinion she was phenomenal in getting my problem straightened out.  Outstanding",2021-08-27,0
Carissa Long,4,2021-08-27,Charlie loved his bark box but he…,"Charlie loved his bark box but he didn’t like one of his treats. He did like the toys though, he tore through them pretty easily. But it’s so fun to watch him go through his box and find all the toys and treats just for him.",2021-08-27,0
The Dog,5,2021-08-27,Space Jam barkbox,Quite happy with the variety in our box. The Bugs Brawny seemed extremely hard so I chose not to give it to our dog. He loved all of the treats and the ball,2021-08-27,0
Christine Avila,5,2021-08-27,Everything awesome and unique,Everything awesome and unique,2021-08-27,0
Kadyn Carter,5,2021-08-28,We absolutely LOVED it!!,We absolutely LOVED it!!,2021-08-28,0
Valerie Rowe,5,2021-08-28,Excellent,Excellent. I love the selection and my dogs love it too!,2021-08-28,0
Jessi Birkmire,5,2021-08-28,My Gracie throughly enjoyed her first…,My Gracie throughly enjoyed her first Bark box .The toys were perfect size and the treats were her favorite flavor...duck. We can't wait to get next month's box.,2021-08-28,0
Maisie Thompson,5,2021-08-28,Great quality toys…Maisie loves them!,Great quality toys…Maisie loves them. She’s a destroyer of toys and these are holding up nicely! Fun packaging. Great themes!,2021-08-28,0
Doreen Barnhart,5,2021-08-28,Lexi loved her puppet but the big toy…,Lexi loved her puppet but the big toy she pulled the hair out and I had to throw it away,2021-08-28,0
Leslie Pignataro,5,2021-08-28,Perfectly curated,Chloe loved the WWE box. The toys are adorable and also durable! She loves the treats too!,2021-08-28,0
Teresa M,5,2021-08-28,My dogs are in love with Bark,My dog couldn’t decide which toy was her favorite. She loves the toys. They are good quality and will last. I have a dog that is very picky about treats and normal hates all but he loved the soft treats.,2021-08-28,0
Dawn Hofman,5,2021-08-29,Bark Box is the best!!,Bark Box is the best!!,2021-08-29,0
Brady,4,2021-08-29,Durable engaging toys,My puppy enjoyed the box toys and treats.  Didn’t rate it a five because I received too much communication before receiving the box.,2021-08-29,0
